"Importing was successful!","Importing was successful!"
"Faq with id ""%1"" does not exist.","Faq with id ""%1"" does not exist."
"Export Sample","Export Sample"
"Import Delivery","Import Delivery"
"Custom Shipping Module","Custom Shipping Module"
Enabled,Enabled
Title,Title
"Method Name","Method Name"
"Shipping Cost","Shipping Cost"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","Sort Order"
Export,Export
"Browse import file","Browse import file"
